A,ProductName,InArea,MbaId,ProductSerialNumber,commodity,AnnualConsumption,StartDate,ContractDuration,OrderDate,Status,PriceGuarantee,PriceDate,PriceChange,OrigBaseCosts,OrigKwhCosts,OrigKwhMargin,OrigbaseMargin,CurrentBasePriceNet,CurrentKwhPriceNet,CatalogBasePrice,CatalogKwhPrice,CurrentBaseCost,CurrentKwhCost,CurrentKwhRohmarge,CurrentBaseRohmarge,BaseNewPriceProposed,KwhNewPriceProposed,NewPriceInclude,NewPriceStartdate,CurrentBaseTargetMargin,CurrentKwhTargetMargin
A2,12,False,31593845,8001688658,gas,17905.88235,2021-01-03,2022-01-02 00:00:00,2021-01-02,active,2022-01-02 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,31593845,8001688681,power,1059,2021-01-03,2022-01-02 00:00:00,2021-01-02,active,2022-01-02 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-2315939559,ev-fmwtz1411,gas,51091,2021-01-23,2022-01-22 00:00:00,2021-01-02,active,2022-01-22 00:00:00,2020-10-01,False,84.8,3.8574,0.15,32.0,116.8,4.01,170.37,15.29,138.37,4.544,-0.5339999999999998,-21.570000000000007,170.37,4.6899999999999995,,,32.0,10.75
A2,12,False,31546541,8001355581,power,1607,2021-01-03,2022-01-02 00:00:00,2021-01-02,active,2022-01-02 00:00:00,2020-10-01,False,63.58,22.75,0.1,2.0,65.58,22.85,96.64,34.8,89.7,19.503,3.3470000000000013,-24.120000000000005,91.7,19.599999999999998,,,6.94,15.3
A2,12,False,31546541,8001355582,gas,38441,2021-01-03,2022-01-02 00:00:00,2021-01-02,active,2022-01-02 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-9450338430,ev-rsmsq1883,power,476,2021-01-01,2021-12-31 00:00:00,2021-01-02,active,2021-12-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-8570314701,ev-pweko2340,power,2158,2021-01-02,2022-01-01 00:00:00,2021-01-02,active,2022-01-01 00:00:00,2020-10-01,False,61.74,23.37,0.7,24.0,85.74,24.07,110.78,37.76,93.39,20.663,3.407,-7.650000000000006,117.39,21.359999999999996,,,17.39,17.1
A2,12,False,en-8570314701,ev-dangq6736,gas,12345,2021-01-02,2022-01-01 00:00:00,2021-01-02,active,2022-01-01 00:00:00,2020-10-01,False,151.05,4.0378,0.15,32.0,183.05,4.19,229.37,15.18,197.37,4.4264,-0.23639999999999972,-14.319999999999993,229.37,4.58,,,32.0,10.75
A2,EASY,False,en-5802307958,ev-swyot8733,gas,17984,2021-01-20,2021-01-20 00:00:00,2021-01-02,active,2021-01-20 00:00:00,2020-10-01,False,102.0,4.1961,0.2,40.0,142.0,4.4,188.32,15.28,148.32,4.8259,-0.4258999999999995,-6.319999999999993,188.32,5.03,,,40.0,10.45
A2,12,False,en-5802307958,ev-fwmxj6679,power,2951,2021-01-20,2022-01-19 00:00:00,2021-01-02,active,2022-01-19 00:00:00,2020-10-01,False,74.24,23.12,0.7,24.0,98.24,23.82,118.42,38.04,101.03,20.943,2.876999999999999,-2.7900000000000063,125.03,21.639999999999997,,,17.39,17.1
A2,12,False,en-4221210042,ev-vzuct3389,gas,9776,2021-01-02,2022-01-01 00:00:00,2021-01-02,active,2022-01-01 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-4221210042,ev-awczr7829,power,1526,2021-01-01,2021-12-31 00:00:00,2021-01-02,active,2021-12-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-1155882952,ev-rsmuq8208,power,675,2021-01-02,2022-01-01 00:00:00,2021-01-02,active,2022-01-01 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-9275495928,ev-gjvcy2870,gas,9584,2021-01-01,2021-12-31 00:00:00,2021-01-03,active,2021-12-31 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
